acc,biosample,platform
ERR5505783,SAMEA7080096,ILLUMINA
ERR4364963,SAMEA7080096,ILLUMINA
ERR4365002,SAMEA7080096,OXFORD_NANOPORE
ERR5515580,SAMEA7080256,ILLUMINA
ERR4365241,SAMEA7080256,OXFORD_NANOPORE
ERR4365125,SAMEA7080256,ILLUMINA
ERR4365199,SAMEA7080329,OXFORD_NANOPORE
ERR4421397,SAMEA7080329,ILLUMINA
ERR4365209,SAMEA7080342,ILLUMINA
ERR4365302,SAMEA7080342,OXFORD_NANOPORE
ERR4421538,SAMEA7080380,ILLUMINA
ERR4365248,SAMEA7080380,OXFORD_NANOPORE
ERR5514445,SAMEA7080463,ILLUMINA
ERR4365335,SAMEA7080463,OXFORD_NANOPORE
ERR4439734,SAMEA7174699,ILLUMINA
ERR5497159,SAMEA7174699,OXFORD_NANOPORE
ERR4439752,SAMEA7174717,ILLUMINA
ERR5501241,SAMEA7174717,OXFORD_NANOPORE
ERR5505512,SAMEA7174808,OXFORD_NANOPORE
ERR4439843,SAMEA7174808,ILLUMINA
ERR4439934,SAMEA7174898,ILLUMINA
ERR5505820,SAMEA7174898,OXFORD_NANOPORE
ERR5495833,SAMEA7175003,OXFORD_NANOPORE
ERR4440037,SAMEA7175003,ILLUMINA
ERR4440121,SAMEA7175086,ILLUMINA
ERR5495454,SAMEA7175086,OXFORD_NANOPORE
ERR5497385,SAMEA7175152,OXFORD_NANOPORE
ERR4440187,SAMEA7175152,ILLUMINA
ERR4780288,SAMEA7504774,ILLUMINA
ERR4807226,SAMEA7504774,OXFORD_NANOPORE
ERR4969008,SAMEA7689602,OXFORD_NANOPORE
ERR4970065,SAMEA7689602,ILLUMINA
ERR4969072,SAMEA7689602,OXFORD_NANOPORE
ERR4969140,SAMEA7689603,OXFORD_NANOPORE
ERR4969045,SAMEA7689603,OXFORD_NANOPORE
ERR4969179,SAMEA7689603,ILLUMINA
ERR4969041,SAMEA7689604,OXFORD_NANOPORE
ERR4969178,SAMEA7689604,ILLUMINA
ERR4969142,SAMEA7689605,OXFORD_NANOPORE
ERR4969048,SAMEA7689605,OXFORD_NANOPORE
ERR4969176,SAMEA7689605,ILLUMINA
ERR4969043,SAMEA7689606,OXFORD_NANOPORE
ERR4969138,SAMEA7689606,OXFORD_NANOPORE
ERR4969183,SAMEA7689606,ILLUMINA
ERR4969139,SAMEA7689607,OXFORD_NANOPORE
ERR4969047,SAMEA7689607,OXFORD_NANOPORE
ERR4969174,SAMEA7689607,ILLUMINA
ERR4969165,SAMEA7689608,ILLUMINA
ERR4969005,SAMEA7689608,OXFORD_NANOPORE
ERR4969134,SAMEA7689608,OXFORD_NANOPORE
ERR4969146,SAMEA7689609,OXFORD_NANOPORE
ERR4969187,SAMEA7689609,ILLUMINA
ERR4969050,SAMEA7689609,OXFORD_NANOPORE
ERR4969039,SAMEA7689610,OXFORD_NANOPORE
ERR4969185,SAMEA7689610,ILLUMINA
ERR4969133,SAMEA7689610,OXFORD_NANOPORE
ERR4969132,SAMEA7689611,OXFORD_NANOPORE
ERR4969177,SAMEA7689611,ILLUMINA
