id,country,locality,state,subregion,submitted,collected
epi_isl_427389,Belgium,,Liege,Europe,20200418,20200405
epi_isl_427388,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427387,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427386,Belgium,,Liege,Europe,20200418,20200408
epi_isl_427385,Belgium,,Liege,Europe,20200418,20200408
epi_isl_427384,Belgium,,Liege,Europe,20200418,20200408
epi_isl_427383,Belgium,,Liege,Europe,20200418,20200408
epi_isl_427382,Belgium,,Liege,Europe,20200418,20200408
epi_isl_427381,Belgium,,Liege,Europe,20200418,20200408
epi_isl_427380,Belgium,,Liege,Europe,20200418,20200408
epi_isl_427379,Belgium,,Liege,Europe,20200418,20200408
epi_isl_427378,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427377,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427376,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427375,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427374,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427373,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427372,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427371,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427370,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427369,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427368,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427367,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427366,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427365,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427364,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427363,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427362,Belgium,,Liege,Europe,20200418,20200406
epi_isl_427361,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427360,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427359,Belgium,,Liege,Europe,20200418,20200406
epi_isl_427358,Belgium,,Liege,Europe,20200418,20200406
epi_isl_427357,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427356,Belgium,,Liege,Europe,20200418,20200406
epi_isl_427355,Belgium,,Liege,Europe,20200418,20200406
epi_isl_427354,Belgium,,Liege,Europe,20200418,20200406
epi_isl_427353,Belgium,,Liege,Europe,20200418,20200406
epi_isl_427352,Belgium,,Liege,Europe,20200418,20200406
epi_isl_427351,Belgium,,Liege,Europe,20200418,20200407
epi_isl_427350,Belgium,,Liege,Europe,20200418,20200406
epi_isl_427349,Belgium,,Liege,Europe,20200418,20200406
epi_isl_427348,Belgium,,Liege,Europe,20200418,20200406
epi_isl_427347,Belgium,,Liege,Europe,20200418,20200331
epi_isl_427346,Belgium,,Liege,Europe,20200418,20200330
epi_isl_427345,Belgium,,Liege,Europe,20200418,20200330
epi_isl_427344,Belgium,,Liege,Europe,20200418,20200330
epi_isl_427343,Belgium,,Liege,Europe,20200418,20200331
epi_isl_427342,Belgium,,Liege,Europe,20200418,20200331
epi_isl_427341,Belgium,,Liege,Europe,20200418,20200330
epi_isl_427340,Belgium,,Liege,Europe,20200418,20200331
epi_isl_427271,USA,,Arizona,North America,20200417,20200323
epi_isl_427339,Russia,,Saint-Petersburg,Europe,20200418,20200325
epi_isl_427338,Russia,,Saint-Petersburg,Europe,20200418,20200325
epi_isl_427337,Russia,,Saint-Petersburg,Europe,20200418,20200325
epi_isl_427336,Russia,,Saint-Petersburg,Europe,20200418,20200407
epi_isl_427335,Russia,,Saint-Petersburg,Europe,20200418,20200407
epi_isl_427334,Russia,,Saint-Petersburg,Europe,20200418,20200407
epi_isl_427333,Russia,,Saint-Petersburg,Europe,20200418,20200407
epi_isl_427332,Russia,,Saint-Petersburg,Europe,20200418,20200407
epi_isl_427331,Russia,,Saint-Petersburg,Europe,20200418,20200407
epi_isl_427330,Russia,,Saint-Petersburg,Europe,20200418,20200407
epi_isl_427329,Russia,,Saint-Petersburg,Europe,20200418,20200407
epi_isl_427328,Russia,,Saint-Petersburg,Europe,20200418,20200407
epi_isl_427327,Russia,,Saint-Petersburg,Europe,20200418,20200407
epi_isl_427326,Russia,,Saint-Petersburg,Europe,20200418,20200407
epi_isl_427325,Russia,,Saint-Petersburg,Europe,20200418,20200407
epi_isl_427324,Russia,,Saint-Petersburg,Europe,20200418,20200407
epi_isl_427323,Russia,,Saint-Petersburg,Europe,20200418,20200406
epi_isl_427322,Russia,,Saint-Petersburg,Europe,20200418,20200405
epi_isl_427321,Russia,,Saint-Petersburg,Europe,20200418,20200405
epi_isl_427320,Russia,,Saint-Petersburg,Europe,20200418,20200405
epi_isl_427319,Russia,,Saint-Petersburg,Europe,20200418,20200404
epi_isl_427318,Russia,,Saint-Petersburg,Europe,20200418,20200403
epi_isl_427317,Russia,,Saint-Petersburg,Europe,20200418,20200403
