Date,Location,N,Diversity,Divergence
20191224,World,17,0.0,0.0
20191224,China,17,0.0,0.0
20191231,World,104,0.0002590784036594464,0.00013036903846153845
20191231,Australia,10,0.0,0.0
20191231,United Kingdom,41,0.00036732884146341516,0.00018362829268292686
20191231,India,7,0.0,0.0
20191231,China,13,0.0,0.0
20191231,Canada,5,0.0,0.0
20191231,Spain,2,0.00150322,0.00075161
20191231,Netherlands,19,0.00015851157894736844,7.92557894736842e-05
20200107,World,12,0.0005016466666666667,0.00025082333333333333
20200107,China,8,0.00075247,0.000376235
20200107,Thailand,3,0.0,0.0
20200114,World,30,0.00029420767816091956,0.00015056799999999999
20200114,China,28,0.0003146726455026455,0.00016132285714285714
20200121,World,164,0.00026678713003142225,0.00013766701219512193
20200121,USA,7,0.0003585380952380952,0.00021512285714285714
20200121,Australia,7,0.0,0.0
20200121,China,104,0.000115234895444362,5.789798076923077e-05
20200121,France,3,0.0,0.0
20200121,Thailand,6,0.0,0.0
20200121,Taiwan,3,0.0,0.0
20200121,Hong Kong,13,0.0005791769230769229,0.00034750615384615384
20200121,Canada,4,0.0,0.0
20200121,Vietnam,4,0.0010039066666666667,0.00075293
20200121,Singapore,4,0.0007516100000000001,0.000375805
20200121,Japan,3,0.0,0.0
20200121,Malaysia,3,0.0010039,0.002005873333333333
20200128,World,198,0.0002396526831769461,0.0001216219191919192
20200128,USA,6,0.0005019533333333332,0.00025097666666666667
20200128,Australia,4,0.0,0.0
20200128,United Kingdom,2,0.0,0.0
20200128,China,135,0.00028406762299612934,0.0001449305185185185
20200128,France,6,0.0,0.0
20200128,South Korea,7,0.0,0.0
20200128,Italy,3,0.0,0.0
20200128,Thailand,3,0.0,0.0
20200128,Taiwan,4,0.0,0.0
20200128,Hong Kong,7,0.0,0.0
20200128,Singapore,6,0.0,0.0
20200128,Japan,6,0.0,0.0
20200128,Malaysia,2,0.00150322,0.00075161
20200204,World,131,0.00016017548443922404,8.043740458015268e-05
20200204,USA,2,0.0,0.0
20200204,Australia,3,0.0,0.0
20200204,United Kingdom,6,0.0,0.0
20200204,China,71,4.241859154929573e-05,2.1209295774647887e-05
20200204,South Korea,9,0.001506253888888889,0.000836468888888889
20200204,Taiwan,3,0.0,0.0
20200204,Hong Kong,22,0.0,0.0
20200204,Singapore,7,0.0004294914285714285,0.00021474571428571428
20200204,Japan,2,0.0,0.0
20200204,Malaysia,2,0.0,0.0
20200211,World,110,0.00010912594161801515,5.4814363636363636e-05
