Date,Location,N,Diversity,Divergence
20191224,World,4,0.0,0.0
20191224,China,4,0.0,0.0
20191231,World,6,0.0009247333333333333,0.0004615933333333333
20191231,China,6,0.0009247333333333333,0.0004615933333333333
20200107,World,8,0.0,0.0
20200107,China,6,0.0,0.0
20200114,World,24,0.0,0.0
20200114,China,23,0.0,0.0
20200121,World,85,0.0,0.0
20200121,USA,7,0.0,0.0
20200121,France,3,0.0,0.0
20200121,China,44,0.0,0.0
20200121,Japan,3,0.0,0.0
20200121,Australia,7,0.0,0.0
20200121,Taiwan,3,0.0,0.0
20200121,Vietnam,3,0.0,0.0
20200121,Hong Kong,6,0.0,0.0
20200121,Canada,3,0.0,0.0
20200121,Singapore,3,0.0,0.0
20200128,World,111,0.00024949986895986904,0.00012459378378378377
20200128,USA,6,0.0,0.0
20200128,United Kingdom,2,0.0,0.0
20200128,France,6,0.0,0.0
20200128,China,69,0.00024039285166240358,0.00012028521739130436
20200128,Japan,4,0.0013847799999999997,0.00069239
20200128,Australia,2,0.0,0.0
20200128,Italy,3,0.0,0.0
20200128,Taiwan,2,0.00276067,0.001380335
20200128,Hong Kong,5,0.0,0.0
20200128,Singapore,4,0.0,0.0
20200128,South Korea,4,0.0,0.0
20200204,World,81,0.0007112139135802459,0.00035634728395061733
20200204,USA,2,0.0,0.0
20200204,United Kingdom,6,0.0,0.0
20200204,China,44,0.001306119217758984,0.0006560029545454545
20200204,Japan,2,0.0,0.0
20200204,Australia,3,0.0,0.0
20200204,Hong Kong,14,0.0,0.0
20200204,Singapore,4,0.0,0.0
20200204,South Korea,3,0.0,0.0
20200211,World,61,0.00026910525683060155,0.000136062131147541
20200211,USA,9,0.0,0.0
20200211,China,6,0.0009202233333333332,0.0004601116666666666
20200211,Japan,43,0.0002514993576965672,0.0001288167441860465
20200218,World,43,0.0,0.0
20200218,USA,23,0.0,0.0
20200218,China,2,0.0,0.0
20200218,Malaysia,6,0.0,0.0
20200218,Italy,2,0.0,0.0
20200218,Hong Kong,2,0.0,0.0
20200218,Canada,2,0.0,0.0
20200218,Singapore,2,0.0,0.0
20200225,World,323,0.0001721518048958708,8.622792569659442e-05
20200225,USA,84,0.00013189242398164102,6.594190476190476e-05
20200225,United Kingdom,53,0.00010450943396226411,5.225471698113207e-05
20200225,France,13,0.0,0.0
20200225,China,14,0.0,0.0
20200225,Netherlands,29,0.0,0.0
20200225,Brazil,6,0.0,0.0
20200225,Germany,6,0.0,0.0
20200225,Spain,9,0.0,0.0
20200225,Kuwait,3,0.0,0.0
20200225,Iceland,12,0.000461934696969697,0.00023079166666666666
20200225,Switzerland,31,0.001046089247311828,0.0005410806451612904
20200225,Belgium,8,0.0,0.0
20200225,Australia,10,0.0,0.0
20200225,Norway,7,0.0,0.0
20200225,Italy,8,0.0,0.0
20200225,Taiwan,4,0.0,0.0
20200225,Finland,3,0.0,0.0
20200225,Georgia,2,0.0,0.0
20200225,Canada,6,0.0,0.0
20200225,Portugal,2,0.0,0.0
20200225,South Korea,4,0.0,0.0
20200303,World,596,7.450563690711444e-05,3.730619127516778e-05
20200303,USA,117,0.0,0.0
20200303,United Kingdom,101,5.486112079207925e-05,2.7421386138613862e-05
20200303,France,41,0.0,0.0
20200303,Netherlands,108,0.0,0.0
20200303,England,11,0.0,0.0
20200303,Brazil,9,0.0,0.0
20200303,Spain,16,0.0003461875000000001,0.00017309375
20200303,Iceland,53,0.0003095589985486216,0.0001567675471698113
20200303,Switzerland,15,0.0011182333333333333,0.0005591166666666667
