id,country,locality,state,subregion,submitted,collected
epi_isl_419652,USA,La Crosse County,Wisconsin,North America,20200403,20200325
epi_isl_419651,USA,La Crosse County,Wisconsin,North America,20200403,20200329
epi_isl_419650,USA,La Crosse County,Wisconsin,North America,20200403,20200328
epi_isl_419607,Luxembourg,,,Europe,20200402,20200314
epi_isl_419606,Luxembourg,,,Europe,20200402,20200311
epi_isl_419605,Luxembourg,,,Europe,20200402,20200312
epi_isl_419604,Luxembourg,,,Europe,20200402,20200315
epi_isl_419528,USA,,Connecticut,North America,20200402,20200313
epi_isl_419603,Luxembourg,,,Europe,20200402,20200316
epi_isl_419602,Luxembourg,,,Europe,20200402,20200312
epi_isl_419601,Luxembourg,,,Europe,20200402,20200315
epi_isl_419600,Luxembourg,,,Europe,20200402,20200313
epi_isl_419599,Luxembourg,,,Europe,20200402,20200316
epi_isl_419598,Luxembourg,,,Europe,20200402,20200314
epi_isl_419597,Luxembourg,,,Europe,20200402,20200315
epi_isl_419596,Luxembourg,,,Europe,20200402,20200312
epi_isl_419595,Luxembourg,,,Europe,20200402,20200312
epi_isl_419594,Luxembourg,,,Europe,20200402,20200316
epi_isl_419593,Luxembourg,,,Europe,20200402,20200316
epi_isl_419592,Luxembourg,,,Europe,20200402,20200315
epi_isl_419591,Luxembourg,,,Europe,20200402,20200314
epi_isl_419590,Luxembourg,,,Europe,20200402,20200311
epi_isl_419589,Luxembourg,,,Europe,20200402,20200315
epi_isl_419588,Luxembourg,,,Europe,20200402,20200316
epi_isl_419587,Luxembourg,,,Europe,20200402,20200311
epi_isl_419586,Luxembourg,,,Europe,20200402,20200314
epi_isl_419585,Luxembourg,,,Europe,20200402,20200314
epi_isl_419584,Luxembourg,,,Europe,20200402,20200313
epi_isl_419583,Luxembourg,,,Europe,20200402,20200315
epi_isl_419582,Luxembourg,,,Europe,20200402,20200313
epi_isl_419581,Luxembourg,,,Europe,20200402,20200311
epi_isl_419580,Luxembourg,,,Europe,20200402,20200312
epi_isl_419579,Luxembourg,,,Europe,20200402,20200314
epi_isl_419578,Luxembourg,,,Europe,20200402,20200308
epi_isl_419577,Luxembourg,,,Europe,20200402,20200312
epi_isl_419576,Luxembourg,,,Europe,20200402,20200317
epi_isl_419575,Luxembourg,,,Europe,20200402,20200314
epi_isl_419574,Luxembourg,,,Europe,20200402,20200316
epi_isl_419573,Luxembourg,,,Europe,20200402,20200311
epi_isl_419572,Luxembourg,,,Europe,20200402,20200310
epi_isl_419571,Luxembourg,,,Europe,20200402,20200306
epi_isl_419570,Luxembourg,,,Europe,20200402,20200312
epi_isl_419569,Luxembourg,,,Europe,20200402,20200307
epi_isl_419568,Luxembourg,,,Europe,20200402,20200314
epi_isl_419567,Luxembourg,,,Europe,20200402,20200315
epi_isl_419527,USA,,Connecticut,North America,20200402,20200317
epi_isl_419566,Luxembourg,,,Europe,20200402,20200305
epi_isl_419565,Luxembourg,,,Europe,20200402,20200309
epi_isl_419564,Luxembourg,,,Europe,20200402,20200315
epi_isl_419563,Luxembourg,,,Europe,20200402,20200312
epi_isl_419562,Luxembourg,,,Europe,20200402,20200229
epi_isl_419561,USA,,Texas,North America,20200402,20200229
epi_isl_419560,USA,,Florida,North America,20200402,20200228
epi_isl_419559,USA,,Florida,North America,20200402,20200228
epi_isl_419558,USA,,Oregon,North America,20200402,20200227
epi_isl_419557,USA,,Georgia,North America,20200402,20200229
epi_isl_419556,USA,,Georgia,North America,20200402,20200229
epi_isl_419555,USA,,Washington,North America,20200402,20200227
epi_isl_419554,USA,,California,North America,20200402,20200226
epi_isl_419553,USA,,Rhode Island,North America,20200402,20200228
epi_isl_419552,Germany,,Duesseldorf,Europe,20200402,20200316
epi_isl_419551,Germany,,Duesseldorf,Europe,20200402,20200316
epi_isl_419550,Germany,,Duesseldorf,Europe,20200402,20200316
epi_isl_419549,Germany,,Duesseldorf,Europe,20200402,20200315
epi_isl_419548,Germany,,Duesseldorf,Europe,20200402,20200315
epi_isl_419547,Germany,,Duesseldorf,Europe,20200402,20200315
epi_isl_419546,Germany,,Duesseldorf,Europe,20200402,20200315
epi_isl_419545,Germany,,Duesseldorf,Europe,20200402,20200315
epi_isl_419544,Germany,,Duesseldorf,Europe,20200402,20200315
epi_isl_419543,Germany,,Duesseldorf,Europe,20200402,20200315
epi_isl_419542,Germany,,Duesseldorf,Europe,20200402,20200315
epi_isl_419541,Germany,,Duesseldorf,Europe,20200402,20200314
epi_isl_419540,Germany,,Duesseldorf,Europe,20200402,20200316
epi_isl_419539,Germany,,Duesseldorf,Europe,20200402,20200315
epi_isl_419538,Germany,,Duesseldorf,Europe,20200402,20200314
epi_isl_419537,Germany,,Duesseldorf,Europe,20200402,20200314
epi_isl_419536,Germany,,Duesseldorf,Europe,20200402,20200314
epi_isl_419535,Germany,,Duesseldorf,Europe,20200402,20200313
epi_isl_419534,Germany,,Duesseldorf,Europe,20200402,20200311
epi_isl_419533,Germany,,Duesseldorf,Europe,20200402,20200311
epi_isl_419532,Germany,,Duesseldorf,Europe,20200402,20200311
epi_isl_419531,Germany,,Duesseldorf,Europe,20200402,20200311
epi_isl_419530,Germany,,Duesseldorf,Europe,20200402,20200311
epi_isl_419529,Germany,,Duesseldorf,Europe,20200402,20200310
epi_isl_419524,USA,,Connecticut,North America,20200402,20200315
epi_isl_419523,USA,,New York,North America,20200402,20200317
epi_isl_419522,USA,,Connecticut,North America,20200402,20200318
epi_isl_419517,USA,,Connecticut,North America,20200402,20200319
epi_isl_419515,USA,,Connecticut,North America,20200402,20200324
epi_isl_419526,USA,,Connecticut,North America,20200402,20200316
epi_isl_419525,USA,,Connecticut,North America,20200402,20200316
epi_isl_419513,USA,,Connecticut,North America,20200402,20200323
epi_isl_419512,USA,,Connecticut,North America,20200402,20200323
epi_isl_419521,USA,,Connecticut,North America,20200402,20200318
epi_isl_419520,USA,,Connecticut,North America,20200402,20200319
epi_isl_419519,USA,,Connecticut,North America,20200402,20200319
epi_isl_419518,USA,,Connecticut,North America,20200402,20200319
epi_isl_419516,USA,,Connecticut,North America,20200402,20200325
epi_isl_419514,USA,,Connecticut,North America,20200402,20200324
epi_isl_419387,Portugal,,Lisbon,Europe,20200402,20200318
epi_isl_419511,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419510,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419509,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419508,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419507,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419506,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419505,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419504,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419503,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419502,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419501,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419500,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419499,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419498,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419497,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419496,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419495,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419494,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419493,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419492,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419491,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419490,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419489,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419488,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419487,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419486,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419485,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419484,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419483,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419482,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419481,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419480,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419479,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419478,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419477,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419476,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419475,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419474,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419473,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419472,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419471,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419470,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419469,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419468,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419467,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419466,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419465,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419464,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419463,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419462,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419461,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419460,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419459,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419458,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419457,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419456,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419455,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419454,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419453,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419452,United Kingdom,,Wales,Europe,20200402,20200320
epi_isl_419451,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419450,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419449,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419448,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419447,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419446,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419445,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419444,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419443,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419442,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419441,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419440,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419439,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419438,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419437,United Kingdom,,Wales,Europe,20200402,20200319
epi_isl_419436,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419435,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419434,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419433,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419432,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419431,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419430,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419429,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419428,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419427,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419426,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419425,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419424,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419423,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419422,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419421,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419420,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419419,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419418,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419417,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419416,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419415,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419414,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419413,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419412,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419411,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419410,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419409,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419408,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419407,United Kingdom,,Wales,Europe,20200402,20200316
epi_isl_419406,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419405,United Kingdom,,Wales,Europe,20200402,20200316
epi_isl_419404,United Kingdom,,Wales,Europe,20200402,20200316
epi_isl_419403,United Kingdom,,Wales,Europe,20200402,20200316
epi_isl_419402,United Kingdom,,Wales,Europe,20200402,20200316
epi_isl_419401,United Kingdom,,Wales,Europe,20200402,20200317
epi_isl_419400,United Kingdom,,Wales,Europe,20200402,20200316
epi_isl_419399,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419398,United Kingdom,,Wales,Europe,20200402,20200318
epi_isl_419397,USA,,Minnesota,North America,20200402,20200314
epi_isl_419396,USA,,Minnesota,North America,20200402,20200314
epi_isl_419395,USA,,Minnesota,North America,20200402,20200314
epi_isl_419394,USA,,Minnesota,North America,20200402,20200314
epi_isl_419393,USA,,Minnesota,North America,20200402,20200314
epi_isl_419392,USA,,Minnesota,North America,20200402,20200313
epi_isl_419391,USA,,Minnesota,North America,20200402,20200314
epi_isl_419390,USA,,Minnesota,North America,20200402,20200314
epi_isl_419388,USA,,Minnesota,North America,20200402,20200314
epi_isl_418285,Switzerland,,Basel,Europe,20200330,20200304
epi_isl_419386,Portugal,,Lisbon,Europe,20200402,20200318
epi_isl_419313,Pakistan,,KPK,Asia,20200402,20200312
epi_isl_419311,Japan,,Chiba,Asia,20200402,20200313
epi_isl_419310,Japan,,Chiba,Asia,20200402,20200313
epi_isl_419309,Japan,,Chiba,Asia,20200402,20200312
epi_isl_419308,Japan,,Saitama,Asia,20200402,20200319
epi_isl_419307,Japan,,Saitama,Asia,20200402,20200320
epi_isl_419306,Japan,,Saitama,Asia,20200402,20200320
epi_isl_419305,Japan,,Saitama,Asia,20200402,20200318
epi_isl_419304,Japan,,Saitama,Asia,20200402,20200317
epi_isl_419303,Japan,,Saitama,Asia,20200402,20200312
epi_isl_419302,Japan,,Saitama,Asia,20200402,20200312
epi_isl_419301,Japan,,Saitama,Asia,20200402,20200311
epi_isl_419300,Japan,,Ishikawa,Asia,20200402,20200320
epi_isl_419299,Japan,,Ishikawa,Asia,20200402,20200309
epi_isl_419298,Japan,,Chiba,Asia,20200402,20200310
epi_isl_419297,Japan,,Chiba,Asia,20200402,20200310
epi_isl_419296,Japan,,Kochi,Asia,20200402,20200308
epi_isl_419264,Belgium,,Ghent,Europe,20200401,20200320
epi_isl_419265,Belgium,,Ghent,Europe,20200401,20200324
epi_isl_419266,Belgium,,Ghent,Europe,20200401,20200324
epi_isl_419253,Hong Kong,,,Asia,20200401,20200226
epi_isl_419252,Hong Kong,,,Asia,20200401,20200226
epi_isl_419251,Hong Kong,,,Asia,20200401,20200226
epi_isl_419250,Hong Kong,,,Asia,20200401,20200226
epi_isl_419249,Hong Kong,,,Asia,20200401,20200225
epi_isl_419248,Hong Kong,,,Asia,20200401,20200224
epi_isl_419247,Hong Kong,,,Asia,20200401,20200224
epi_isl_419246,Hong Kong,,,Asia,20200401,20200223
epi_isl_419245,Hong Kong,,,Asia,20200401,20200222
epi_isl_419244,Hong Kong,,,Asia,20200401,20200222
epi_isl_419243,Hong Kong,,,Asia,20200401,20200222
epi_isl_419242,Hong Kong,,,Asia,20200401,20200223
epi_isl_419241,Hong Kong,,,Asia,20200401,20200219
epi_isl_419229,Hong Kong,,,Asia,20200401,20200217
epi_isl_419223,Hong Kong,,,Asia,20200401,20200211
epi_isl_419213,Hong Kong,,,Asia,20200401,20200209
epi_isl_419225,Hong Kong,,,Asia,20200401,20200213
epi_isl_419218,Hong Kong,,,Asia,20200401,20200210
epi_isl_419263,USA,,Virginia,North America,20200401,20200310
epi_isl_419262,USA,,Virginia,North America,20200401,20200309
epi_isl_419261,USA,,Virginia,North America,20200401,20200309
epi_isl_419260,USA,,Virginia,North America,20200401,20200308
epi_isl_419259,Belgium,,Ghent,Europe,20200401,20200324
epi_isl_419258,USA,,Virginia,North America,20200401,20200319
epi_isl_419257,USA,,Virginia,North America,20200401,20200319
epi_isl_419256,USA,,Virginia,North America,20200401,20200316
epi_isl_418958,USA,,Virginia,North America,20200331,20200317
epi_isl_418957,USA,,Virginia,North America,20200331,20200317
epi_isl_418956,USA,,Virginia,North America,20200331,20200317
epi_isl_418864,USA,,Virginia,North America,20200331,20200317
epi_isl_419237,Spain,,Madrid,Europe,20200401,20200307
epi_isl_419236,Spain,,Madrid,Europe,20200401,20200307
epi_isl_419235,Spain,,Madrid,Europe,20200401,20200307
epi_isl_419234,Spain,,LaRioja,Europe,20200401,20200303
epi_isl_419233,Spain,,Canary Islands,Europe,20200401,20200304
epi_isl_419255,Italy,,Rome,Europe,20200401,20200323
epi_isl_419230,Spain,,Andalusia,Europe,20200401,20200305
epi_isl_419254,Italy,,Rome,Europe,20200401,20200323
epi_isl_419238,Spain,,Basque Country,Europe,20200401,20200305
epi_isl_419240,Spain,,Basque Country,Europe,20200401,20200303
epi_isl_419232,Hong Kong,,,Asia,20200401,20200219
epi_isl_419231,Hong Kong,,,Asia,20200401,20200219
epi_isl_419228,Hong Kong,,,Asia,20200401,20200217
