Date,Location,N,Diversity,Divergence
20200101,World,21,0.0,0.0
20200101,Canada,6,0.0,0.0
20200101,Netherlands,13,0.0,0.0
20200115,World,10,0.0008365888888888889,0.00075293
20200115,Hong Kong,2,0.0,0.0
20200115,China,8,0.0008067107142857143,0.0009411624999999999
20200122,World,41,0.0007531773902439046,0.00047746780487804873
20200122,Australia,5,0.0,0.0
20200122,Hong Kong,2,0.00150586,0.00075293
20200122,China,29,0.0009128738423645345,0.0006231144827586206
20200122,Vietnam,3,0.0,0.0
20200129,World,69,0.00017463436913896024,8.73131884057971e-05
20200129,Hong Kong,2,0.00150586,0.00075293
20200129,China,61,0.00014816118032786875,7.407786885245902e-05
20200129,Singapore,2,0.0,0.0
20200205,World,36,0.00016733171428571413,8.365888888888889e-05
20200205,United Kingdom,5,0.0,0.0
20200205,Hong Kong,5,0.0,0.0
20200205,China,21,0.0002868722857142856,0.0001434152380952381
20200205,Singapore,2,0.0,0.0
20200212,World,84,0.00014257014343086708,7.17145238095238e-05
20200212,USA,2,0.0,0.0
20200212,Japan,69,0.00012966806479113404,6.547217391304348e-05
20200212,Hong Kong,3,0.0,0.0
20200212,China,5,0.0,0.0
20200212,Singapore,5,0.000602576,0.000301288
20200219,World,38,0.00031284041251778056,0.0001585115789473684
20200219,Italy,3,0.0,0.0
20200219,USA,6,0.0,0.0
20200219,United Kingdom,2,0.0,0.0
20200219,Malaysia,6,0.0005024073333333333,0.00025097666666666667
20200219,Canada,2,0.0,0.0
20200219,France,2,0.0,0.0
20200219,Hong Kong,8,0.0010224635714285717,0.0005646975
20200219,China,7,0.0,0.0
20200226,World,363,0.00021971693514755616,0.00011199479338842973
20200226,Iceland,19,0.0001585726315789474,7.928631578947369e-05
20200226,Italy,7,0.00043080666666666664,0.00021474571428571428
20200226,USA,92,0.0002874292857142843,0.0001472836956521739
20200226,United Kingdom,62,0.0002755970280275005,0.00014572838709677417
20200226,Canada,7,0.0,0.0
20200226,Australia,4,0.0,0.0
20200226,France,15,0.00040164666666666666,0.00020078133333333332
20200226,Switzerland,17,0.0005094042647058823,0.00026577470588235293
20200226,Norway,8,0.0,0.0
20200226,Portugal,3,0.0,0.0
20200226,Belgium,21,0.0,0.0
20200226,Czech Republic,2,0.0,0.0
20200226,Spain,18,0.0001673177777777778,8.365888888888889e-05
20200226,England,2,0.0,0.0
20200226,Kuwait,4,0.0,0.0
20200226,Georgia,2,0.0,0.0
20200226,China,7,0.00043024571428571423,0.00021512285714285714
20200226,Denmark,9,0.0,0.0
20200226,Taiwan,3,0.0,0.0
20200226,Brazil,6,0.0,0.0
20200226,Chile,2,0.0,0.0
20200226,Netherlands,32,0.0,0.0
20200226,Singapore,3,0.0010039066666666667,0.0005019533333333333
20200226,Germany,5,0.000602344,0.000301172
20200226,Ireland,3,0.0010130533333333332,0.0005019533333333333
20200226,Senegal,3,0.0,0.0
20200226,Israel,2,0.0,0.0
20200304,World,603,0.0002162668502449916,0.0001099341293532338
20200304,Iceland,62,0.00023336148598625172,0.00012144967741935483
20200304,USA,143,0.00028680331429134135,0.000147517972027972
20200304,United Kingdom,82,0.00025354287262872546,0.0001285560975609756
20200304,Finland,6,0.0008031253333333332,0.0005019533333333333
20200304,Canada,26,0.0,0.0
20200304,Slovakia,3,0.0,0.0
20200304,Australia,17,0.0003543848529411764,0.00017716
20200304,France,44,0.00013692273784355168,6.846136363636364e-05
20200304,Japan,4,0.0,0.0
20200304,Switzerland,8,0.0,0.0
20200304,Portugal,20,0.0,0.0
20200304,Belgium,31,0.000681820602150539,0.000340688064516129
20200304,Spain,19,0.00015851157894736844,7.92557894736842e-05
20200304,England,5,0.0,0.0
20200304,Georgia,4,0.0,0.0
20200304,Saudi Arabia,3,0.0010039066666666667,0.0005019533333333333
20200304,Taiwan,3,0.0,0.0
20200304,Vietnam,2,0.0,0.0
20200304,Brazil,9,0.0,0.0
20200304,Chile,5,0.000602344,0.000301172
20200304,Netherlands,93,3.232731182795699e-05,1.6163655913978494e-05
20200304,Ireland,3,0.0,0.0
20200304,Senegal,2,0.0,0.0
20200311,World,926,0.00031668450278432694,0.0001613860367170625
20200311,Iceland,192,0.0004641001112565416,0.0002592778645833333
20200311,Italy,7,0.0,0.0
20200311,USA,312,0.00030715250185505495,0.00015462275641025644
20200311,United Kingdom,159,0.00032282583154207364,0.0001623932075471698
20200311,Finland,27,0.0,0.0
20200311,Canada,44,6.848476744186043e-05,3.422409090909091e-05
20200311,Australia,23,0.00026192355731225283,0.00013094434782608694
20200311,France,33,0.0,0.0
20200311,Japan,8,0.0,0.0
20200311,Portugal,16,0.0,0.0
20200311,Belgium,22,0.00013725246753246758,6.844818181818181e-05
20200311,Spain,9,0.0007532200000000002,0.0005021466666666667
20200311,Congo,8,0.0003764649999999999,0.0001882325
20200311,England,7,0.0007170761904761904,0.0010756142857142857
20200311,New Zealand,4,0.0007529300000000001,0.000376465
20200311,Georgia,4,0.0,0.0
20200311,Taiwan,4,0.0015052416666666666,0.000752415
