Date,Location,N,Diversity,Divergence
20200101,World,20,0.0005332011052631577,0.00027919800000000003
20200101,Netherlands,13,0.0,0.0
20200101,Canada,5,0.000957268,0.000478634
20200115,World,10,0.0008509048888888889,0.000478634
20200115,China,8,0.0005982925,0.00029914625
20200115,Hong Kong,2,0.00239317,0.001196585
20200122,World,40,0.0003545632012820513,0.00017929667499999997
20200122,China,29,0.00027086201477832475,0.0001373840344827586
20200122,Australia,5,0.0006378244999999999,0.00031877299999999995
20200122,Vietnam,3,0.001063505,0.0005312883333333333
20200129,World,70,0.000619478485300202,0.0003304246857142857
20200129,China,63,0.0004568024014336902,0.00024056336507936508
20200129,Hong Kong,2,0.0039905,0.001993688
20200205,World,38,0.0005253466827880512,0.00027287155263157895
20200205,United Kingdom,5,0.0003187732,0.0001593866
20200205,China,22,0.00014515000000000006,7.2575e-05
20200205,Singapore,2,0.00239317,0.001196585
20200205,Hong Kong,6,0.0015419865333333334,0.0009303943333333333
20200212,World,84,0.0005218212053930022,0.0002752841309523809
20200212,USA,2,0.0,0.0
20200212,China,5,0.0,0.0
20200212,Japan,70,0.0005338282948240136,0.00028469195714285716
20200212,Singapore,5,0.001278172,0.000639086
20200212,Hong Kong,2,0.0,0.0
20200219,World,39,0.0012297437489878493,0.000696277282051282
20200219,United Kingdom,2,0.0,0.00239317
20200219,USA,6,0.001435902,0.001196585
20200219,China,7,0.00022769485714285714,0.00011384742857142857
20200219,France,2,0.0,0.0
20200219,Canada,2,0.0,0.0
20200219,Italy,3,0.0005311713333333334,0.0005311713333333334
20200219,Malaysia,6,0.0028883739999999995,0.001468565
20200219,Hong Kong,9,0.0007758739722222223,0.00044301422222222227
20200226,World,349,0.0011673285317658248,0.0007244096991404011
20200226,United Kingdom,55,0.0008895889414141326,0.0005075709090909092
20200226,England,2,0.000796758,0.000398379
20200226,Iceland,17,0.0003753111764705883,0.00018765305882352944
20200226,USA,92,0.0011505733330148258,0.0016214312826086958
20200226,Netherlands,31,0.0004526574279569896,0.00023146206451612905
20200226,China,8,0.0015384175714285712,0.0007973505
20200226,France,18,0.0006767116993464055,0.00035389000000000004
20200226,Portugal,3,0.0015954466666666667,0.0015954466666666667
20200226,Australia,4,0.000398379,0.0001991895
20200226,Canada,7,0.0,0.0
20200226,Singapore,3,0.0,0.0
20200226,Belgium,18,0.0007038735294117647,0.00039886166666666667
20200226,Brazil,6,0.00042503093333333327,0.0002656443333333333
20200226,Georgia,2,0.0,0.0
20200226,Switzerland,17,0.0010672219411764707,0.0005627130588235294
20200226,Czech Republic,2,0.0,0.0
20200226,Kuwait,4,0.000398013,0.0001990065
20200226,Italy,7,0.0,0.0
20200226,Taiwan,3,0.0015938026666666666,0.0007968026666666667
20200226,Norway,5,0.0006393880000000001,0.00031873000000000003
20200226,Denmark,9,0.0005318155555555556,0.0002659077777777778
20200226,Spain,17,0.0011024906617647064,0.0006096162352941176
20200226,Ireland,4,0.001333305,0.0007971755
20200226,Germany,4,0.000796845,0.0003984225
20200226,Senegal,2,0.00240467,0.001196585
20200226,Chile,2,0.0,0.0
20200226,Israel,2,0.0,0.000796026
20200304,World,610,0.0010812261504158371,0.0006079506131147542
20200304,United Kingdom,81,0.0007926943793209897,0.0004134053703703704
20200304,England,5,0.0,0.0
20200304,Iceland,67,0.0006193072460425151,0.0003214956865671642
20200304,USA,146,0.001299084887954576,0.0008194184452054793
20200304,Netherlands,92,0.0010340200215002394,0.0006068814130434783
20200304,France,49,0.0009322728324829909,0.0005044967959183673
20200304,Japan,4,0.0021274003333333334,0.0011958505
20200304,Portugal,17,0.0008329390588235289,0.0020176709411764706
20200304,Australia,16,0.0014629697833333337,0.0007977095
20200304,Canada,28,0.0007509360052910048,0.00039855357142857146
20200304,Belgium,27,0.0009496586495726499,0.0005019608888888889
20200304,Finland,6,0.0005312865333333333,0.0002654931666666667
20200304,Brazil,9,0.001551065861111111,0.0007973152222222221
20200304,Georgia,3,0.0,0.0
20200304,Switzerland,8,0.0006002799285714285,0.000300071625
20200304,Slovakia,4,0.0003984665,0.00019923325
20200304,Taiwan,3,0.0,0.0
20200304,Saudi Arabia,3,0.0005312886666666666,0.0002656443333333333
20200304,Spain,19,0.0016285692631578966,0.0008814432631578947
20200304,Vietnam,3,0.0015954466666666667,0.0007977233333333333
20200304,Ireland,3,0.0010620513333333334,0.000530928
20200304,Senegal,2,0.00239317,0.001196585
20200304,Chile,5,0.0007965268000000001,0.00047779680000000006
20200311,World,925,0.0010268519167756709,0.0005615429091891897
20200311,United Kingdom,158,0.0008643968751107806,0.0004791839050632908
20200311,England,7,0.0,0.0
20200311,Iceland,201,0.0010574202671144435,0.0006073756517412936
20200311,USA,310,0.0009206880766261296,0.0004972371580645161
20200311,Netherlands,24,0.0007457925434782612,0.0003988715833333333
20200311,France,33,0.0005466341780303032,0.0002898950303030303
20200311,Japan,8,0.001224612214285714,0.00069742725
20200311,Portugal,8,0.0007978374999999999,0.002193527
20200311,Australia,23,0.0015936541897233268,0.0011451926086956522
20200311,Canada,41,0.0007739761219512142,0.00040832365853658533
20200311,Congo,8,0.0019657539999999997,0.00109634825
20200311,Belgium,22,0.0006346720000000011,0.00043432909090909086
20200311,Finland,27,0.000918130427350427,0.0005613315555555555
20200311,Brazil,13,0.0003684643846153848,0.0001841986153846154
20200311,Georgia,4,0.0,0.0
20200311,Italy,7,0.0015963200952380954,0.0019371754285714287
20200311,New Zealand,4,0.0,0.0
20200311,Taiwan,4,0.001595165666666667,0.0007975255
20200311,Spain,9,0.0013737957222222223,0.0016839947777777778
20200311,Senegal,7,0.0025106024761904757,0.0015957545714285714
20200311,Hungary,2,0.000796026,0.000398013
20200318,World,376,0.000869973813404444,0.0004750082260638296
20200318,United Kingdom,118,0.0008464048405041253,0.00045958361016949144
20200318,England,11,0.0,0.0
20200318,Iceland,36,0.0013285992666666607,0.0007756092222222222
20200318,USA,114,0.0006297742061791771,0.0003287219210526316
20200318,France,22,0.001512676536796537,0.0010143477272727271
20200318,Japan,5,0.0019148099999999999,0.0014348836
20200318,Portugal,2,0.0,0.0
20200318,Australia,5,0.0003187728,0.0001593864
20200318,Canada,2,0.00239317,0.001196585
20200318,Congo,8,0.0003989684285714286,0.00019945012499999998
20200318,Belgium,31,0.0007574558709677441,0.000539571935483871
20200318,Brazil,6,0.0,0.0
20200318,Italy,2,0.0,0.000796026
20200318,Luxembourg,6,0.0013295161333333333,0.0006647121666666666
20200318,Malaysia,3,0.0,0.0
20200318,Greece,3,0.0,0.0
20200325,World,10,0.00015938640000000002,7.96932e-05
20200325,England,10,0.00015938640000000002,7.96932e-05
