Date,Location,N,Diversity,Divergence
20200101,World,13,0.0006533753846153842,0.00037330769230769226
20200101,Netherlands,5,0.00072795,0.00072795
20200101,Canada,6,0.0,0.0
20200115,World,3,0.0008088333333333333,0.00040441666666666664
20200115,China,2,0.00121325,0.000606625
20200122,World,18,0.0006589039869281044,0.00033711
20200122,China,13,0.0007474747435897433,0.0003734407692307692
20200122,Australia,3,0.0,0.0
20200129,World,38,0.0009513158179231952,0.000576264736842105
20200129,China,33,0.0008192666666666662,0.000514712121212121
20200205,World,16,0.0013458341666666659,0.0008344093749999997
20200205,China,7,0.0013885176190476189,0.0006939714285714285
20200205,United Kingdom,5,0.0004853,0.0009706
20200205,Hong Kong,3,0.0008088333333333333,0.0008088333333333333
20200212,World,48,0.0009653944148936258,0.0005321087499999998
20200212,China,3,0.0,0.0
20200212,Hong Kong,4,0.0012152283333333332,0.0006076149999999999
20200212,Japan,40,0.0009606633974359063,0.0005474377499999998
20200219,World,23,0.0012382567193675866,0.000686072608695652
20200219,China,5,0.0007289880000000001,0.00048599200000000003
20200219,USA,2,0.00243036,0.0012143649999999998
20200219,France,2,0.00121325,0.000606625
20200219,Hong Kong,8,0.0009538449999999997,0.00060684125
20200219,Italy,3,0.0016191733333333332,0.00121325
20200219,Malaysia,3,0.0008088333333333333,0.00040441666666666664
20200226,World,172,0.001579065883312884,0.0008835390697674417
20200226,China,8,0.001951828928571428,0.0010619775
20200226,Iceland,3,0.0,0.0
20200226,Belgium,21,0.001019254666666668,0.0007521304761904764
20200226,USA,21,0.001783909095238094,0.001041358095238095
20200226,United Kingdom,30,0.0010775806896551686,0.0008897166666666662
20200226,Denmark,5,0.0007289880000000001,0.00048599200000000003
20200226,France,3,0.00161842,0.0008088333333333333
20200226,Netherlands,25,0.0003397099999999998,0.0010191299999999994
20200226,Spain,12,0.0008470689393939389,0.0006075108333333333
20200226,Portugal,3,0.0,0.00121498
20200226,Czech Republic,2,0.00121325,0.000606625
20200226,Canada,2,0.0,0.0
20200226,Norway,7,0.0017844809523809525,0.0010706885714285715
20200226,Italy,3,0.0016197133333333332,0.0016197133333333332
20200226,Brazil,2,0.00121325,0.000606625
20200226,Australia,2,0.00121325,0.000606625
20200226,Switzerland,10,0.0021611033333333346,0.001214384
20200226,Kuwait,2,0.00121325,0.000606625
20200226,Germany,2,0.00364645,0.001821415
20200226,Israel,2,0.0,0.0
20200304,World,339,0.0013180761278388572,0.0007252293805309729
20200304,England,3,0.0024297533333333334,0.0012142733333333332
20200304,Iceland,14,0.0008270538461538462,0.0006934449999999999
20200304,Belgium,29,0.0011049031527093536,0.0008376958620689656
20200304,USA,91,0.0010387135531135644,0.0005737505494505492
20200304,United Kingdom,29,0.0009566969458128069,0.0007949475862068961
20200304,France,14,0.001002900659340659,0.0006998878571428571
20200304,Georgia,4,0.000606625,0.0003033125
20200304,Netherlands,74,0.0007698596704924093,0.0006722060810810806
20200304,Chile,3,0.0008147666666666666,0.0008147666666666666
20200304,Spain,12,0.0007757257575757571,0.0004060441666666667
20200304,Portugal,21,0.0008699395238095214,0.0006941095238095238
20200304,Japan,3,0.0016803933333333335,0.0020853866666666666
20200304,Canada,8,0.0011543496428571432,0.00061881875
20200304,Brazil,3,0.0016192700000000001,0.00080941
20200304,Australia,10,0.0012411375555555553,0.0007281719999999999
20200304,Switzerland,6,0.003487518,0.002226871666666667
20200304,Vietnam,3,0.0,0.0
20200304,Slovakia,2,0.00121768,0.000606625
20200304,Saudi Arabia,3,0.0016559666666666666,0.0016316133333333334
20200311,World,521,0.0014009626739267648,0.0007831183877159301
20200311,England,7,0.0009255238095238095,0.0019087357142857145
20200311,Iceland,39,0.0007276145748987866,0.0005599615384615381
20200311,Belgium,11,0.0010462676363636356,0.0014680554545454547
20200311,USA,227,0.001369118277260112,0.0007665289867841402
20200311,United Kingdom,80,0.0012860583987341883,0.0007440921249999997
20200311,Congo,4,0.0012143400000000002,0.0006070575
20200311,Finland,10,0.0006772526666666665,0.001096861
20200311,France,16,0.0011711215000000084,0.0007669206249999999
20200311,Georgia,4,0.002024376666666667,0.0012136825
20200311,Netherlands,16,0.0007903777499999996,0.00060718125
20200311,Spain,8,0.0005207057142857144,0.000911235
20200311,Portugal,18,0.0011206888888888903,0.0007423916666666668
20200311,Japan,9,0.0010788211111111105,0.0006740277777777777
20200311,Canada,20,0.0009419579473684208,0.0004923485
20200311,Italy,5,0.001704029,0.001215376
20200311,Brazil,13,0.0011813137179487176,0.0006587907692307693
20200311,Australia,22,0.0012817789177489174,0.0009436249999999997
20200311,Taiwan,3,0.0024293066666666667,0.0012138266666666666
20200311,New Zealand,4,0.0014162116666666667,0.0009099374999999999
20200318,World,203,0.001461744651026625,0.0008417389655172408
20200318,England,9,0.0014868416666666663,0.0021596277777777783
20200318,Iceland,6,0.00040441666666666664,0.0010110416666666666
20200318,Belgium,18,0.0020543583006535924,0.0015869505555555553
20200318,USA,92,0.0011451447634974168,0.0006618131521739128
20200318,United Kingdom,29,0.0012576064532019689,0.0006699265517241378
20200318,Congo,7,0.0016189561904761901,0.0008668542857142857
20200318,France,18,0.000789789738562092,0.0010157177777777777
20200318,Japan,5,0.0012142119999999999,0.000728296
20200318,Canada,2,0.0,0.0
20200318,Italy,2,0.00121943,0.00060749
20200318,Brazil,6,0.0004050073333333333,0.00020220833333333332
20200318,Australia,3,0.00161972,0.0012138266666666666
20200318,Malaysia,2,0.0,0.0
20200318,Greece,2,0.00121325,0.000606625
20200325,World,8,0.0016494082142857144,0.00091109125
20200325,England,8,0.0016494082142857144,0.00091109125
