Date,Location,N,Diversity,Divergence
20200101,World,21,0.0014249931428571441,0.0011874942857142857
20200101,Canada,6,0.0,0.0
20200101,Netherlands,13,0.001420933333333332,0.0017051199999999999
20200115,World,10,0.0009851804444444444,0.000554164
20200115,China,8,0.0011874942857142857,0.000692705
20200115,Hong Kong,2,0.0,0.0
20200122,World,41,0.0012299737560975516,0.0008785526829268291
20200122,China,29,0.0013922346798029548,0.0011465462068965516
20200122,Australia,5,0.001108328,0.000554164
20200122,Hong Kong,2,0.0,0.0
20200122,Vietnam,3,0.0,0.0
20200129,World,71,0.0015542856056337709,0.0015612666197183087
20200129,China,64,0.0015461143601190259,0.0016887360937499988
20200129,Hong Kong,2,0.0,0.0
20200205,World,38,0.0016794930867709765,0.0013124155263157895
20200205,United Kingdom,5,0.0016624919999999998,0.0016624919999999998
20200205,China,22,0.001702690216450218,0.0015112154545454544
20200205,Hong Kong,6,0.0018494320000000002,0.0009236283333333333
20200205,Singapore,2,0.0,0.0
20200212,World,84,0.0014967886890418975,0.0016822497619047602
20200212,USA,2,0.0,0.0
20200212,China,5,0.0016624919999999998,0.0016624919999999998
20200212,Japan,70,0.0014907702691511148,0.001781200857142855
20200212,Hong Kong,2,0.0,0.0
20200212,Singapore,5,0.0016624919999999998,0.0016624919999999998
20200219,World,39,0.0011191177192982414,0.0007107989743589743
20200219,United Kingdom,2,0.0,0.0
20200219,USA,6,0.0,0.0
20200219,Canada,2,0.00277082,0.00138541
20200219,France,2,0.00277082,0.00138541
20200219,Malaysia,6,0.0009236066666666666,0.0004618033333333333
20200219,Italy,3,0.0,0.0
20200219,China,7,0.0007916628571428571,0.0023749885714285713
20200219,Hong Kong,9,0.0006192688888888889,0.0003093088888888889
20200226,World,366,0.001191360243880297,0.0007121433333333335
20200226,Spain,18,0.0008863589542483655,0.00046124333333333334
20200226,United Kingdom,61,0.00165715022950817,0.0011818026229508194
20200226,USA,93,0.00034933529920523756,0.0001785458064516129
20200226,Iceland,18,0.0019953470588235296,0.0012315116666666666
20200226,Belgium,21,0.0010555504761904767,0.0006597190476190476
20200226,Canada,7,0.0013194380952380952,0.001979157142857143
20200226,France,18,0.0008149470588235284,0.00046180333333333326
20200226,Senegal,2,0.0,0.0
20200226,Portugal,3,0.0,0.0
20200226,Italy,7,0.002387656666666667,0.0011922528571428573
20200226,Ireland,4,0.00138541,0.000692705
20200226,Brazil,6,0.001662492,0.00138541
20200226,England,2,0.0,0.0
20200226,Taiwan,3,0.0018472133333333333,0.0009236066666666666
20200226,China,8,0.001484367857142857,0.0017317625
20200226,Switzerland,17,0.0006112102941176467,0.00032597882352941175
20200226,Australia,4,0.00138541,0.000692705
20200226,Chile,2,0.0,0.0
20200226,Denmark,9,0.0015393444444444444,0.0012314755555555554
20200226,Georgia,2,0.00277224,0.00138612
20200226,Norway,8,0.000692705,0.0003463525
20200226,Netherlands,32,0.0007541546370967751,0.000432940625
20200226,Kuwait,4,0.00138541,0.0020781149999999997
20200226,Czech Republic,2,0.0,0.0
20200226,Germany,5,0.006141156,0.0033517039999999996
20200226,Singapore,3,0.0,0.0
20200226,Israel,2,0.0,0.0
20200304,World,627,0.0011447382636007816,0.0006585311323763954
20200304,Spain,20,0.0008011456842105261,0.000415119
20200304,United Kingdom,83,0.0013635426858654022,0.0009681209638554212
20200304,USA,148,0.0006335364644236247,0.00035571337837837834
20200304,Iceland,67,0.0021490119222071636,0.0014475302985074618
20200304,Belgium,31,0.0009537596774193556,0.000536291935483871
20200304,Canada,29,0.00019109103448275853,9.55455172413793e-05
20200304,France,49,0.0007452839115646223,0.00039612489795918366
20200304,Senegal,2,0.0,0.0
20200304,Portugal,21,0.000263887619047619,0.0001319438095238095
20200304,Saudi Arabia,3,0.0,0.0
20200304,Ireland,3,0.0,0.0
20200304,Brazil,9,0.002000070555555555,0.0012311311111111109
20200304,England,5,0.002215416,0.001107708
20200304,Taiwan,3,0.0,0.0
20200304,Switzerland,8,0.0029720532142857134,0.0020817575
20200304,Australia,17,0.001464992205882353,0.0008137611764705881
20200304,Chile,5,0.002215416,0.001107708
20200304,Georgia,4,0.00138541,0.000692705
20200304,Netherlands,93,0.0007577978962131705,0.00044690645161290317
20200304,Japan,4,0.0,0.0
20200304,Slovakia,4,0.0027692699999999995,0.00416539
20200304,Finland,6,0.0014777706666666665,0.0009236066666666666
20200304,Vietnam,3,0.0,0.0
20200311,World,974,0.001465024796193509,0.0008194712217659157
20200311,Spain,9,0.0,0.0
20200311,United Kingdom,170,0.0008486380257570726,0.00045735417647058834
20200311,USA,333,0.001713682881797508,0.001115063693693693
20200311,Iceland,204,0.001423871504394659,0.0010735340196078417
20200311,Belgium,23,0.0013799340711462466,0.0010842339130434783
20200311,Canada,42,0.00026294147502903644,0.00013146380952380952
20200311,France,34,0.0008786249019607852,0.0004886717647058824
20200311,Senegal,7,0.0013194380952380952,0.0007916628571428571
20200311,Portugal,18,0.0,0.0
20200311,Italy,7,0.0007887828571428572,0.0003943914285714285
20200311,Brazil,13,0.0014919799999999984,0.00149198
20200311,England,7,0.0,0.0
20200311,Taiwan,3,0.0,0.0
20200311,Australia,23,0.0012221457707509886,0.0008402252173913044
20200311,Georgia,4,0.0,0.0
20200311,Netherlands,24,0.0011946651449275376,0.0008081558333333333
20200311,Japan,9,0.001077541111111111,0.0006157377777777777
20200311,New Zealand,4,0.0,0.0
20200311,Congo,6,0.0,0.0
20200311,Finland,27,0.0005987604273504266,0.0003071262962962963
20200311,Hungary,2,0.0,0.0
20200318,World,387,0.0012465162974115288,0.0007315498708010335
20200318,United Kingdom,123,0.0008185921618019626,0.000450659918699187
20200318,USA,110,0.001332129527939998,0.0009571653636363628
20200318,Iceland,39,0.0018137451551956815,0.0010770784615384617
20200318,Belgium,35,0.0012764343361344513,0.0007124154285714286
20200318,Canada,2,0.0,0.0
20200318,France,24,0.0,0.0
20200318,Malaysia,3,0.005585903333333334,0.0027819233333333335
20200318,Portugal,2,0.0,0.0
20200318,Italy,2,0.0,0.0
20200318,Brazil,6,0.0018581333333333335,0.0027708416666666663
20200318,England,11,0.0005037854545454545,0.00025189272727272726
20200318,Australia,5,0.0016624919999999998,0.001108328
20200318,Luxembourg,5,0.001108328,0.000554164
20200318,Japan,5,0.0,0.0
20200318,Congo,9,0.00138541,0.001847213333333333
20200318,Greece,3,0.0018472133333333333,0.0009236066666666666
20200325,World,11,0.0,0.0
20200325,England,11,0.0,0.0
