Date,Location,N,Diversity,Divergence
20200101,World,9,0.0003202866666666666,0.0002038085555555556
20200101,Netherlands,6,0.0002446246000000001,0.00017473083333333336
20200101,Canada,2,0.000523958,0.000261946
20200115,World,8,0.0002620925,0.00013104625
20200115,China,7,0.0,0.0
20200122,World,28,0.0001989351031746032,0.00010292342857142858
20200122,China,22,0.0001622023073593074,8.3362e-05
20200122,Australia,4,0.0002619955,0.00013099775
20200129,World,62,0.0003896602908514015,0.00021988401612903224
20200129,China,54,0.00034102106429070335,0.00019411014814814815
20200129,Hong Kong,4,0.0002619955,0.00013099775
20200205,World,47,0.00018471600185013997,0.00013378397872340427
20200205,China,20,0.00018204389999999985,0.00010479325
20200205,Hong Kong,19,0.00016245188888888855,0.00012410478947368422
20200205,United Kingdom,5,0.0,0.000262
20200205,Singapore,2,0.000523991,0.0002619955
20200212,World,76,0.0002840950596491225,0.000169042
20200212,China,4,0.000131,6.55e-05
20200212,Hong Kong,7,0.0002246823333333333,0.00011228057142857141
20200212,Japan,63,0.00030193044444444257,0.00018728933333333336
20200219,World,33,0.0003347286818181854,0.00020646963636363977
20200219,China,7,0.00014986676190478302,7.485714285715871e-05
20200219,Hong Kong,15,0.0003444124571428567,0.0002445402666666667
20200219,USA,2,0.000262,0.000131
20200219,United Kingdom,2,0.000524267,0.000261991
20200219,Italy,2,0.000786969,0.00039308949999999996
20200219,Malaysia,2,0.0,0.0
20200219,France,2,0.000261991,0.0003929955
20200226,World,206,0.0004598922137816455,0.0002916759417475724
20200226,Switzerland,17,0.000475024904411765,0.00032420241176470593
20200226,China,7,0.0006776588095238095,0.0003387031428571429
20200226,Belgium,16,0.0001506736666666666,8.187443750000001e-05
20200226,Netherlands,28,0.0002670773333333338,0.00019664039285714283
20200226,Iceland,10,0.0004948712666666665,0.0002881631
20200226,Hong Kong,3,0.000174798,0.0003494680000000001
20200226,USA,21,0.0005642764904761962,0.0003882969047619048
20200226,United Kingdom,41,0.00043903392317073275,0.0003195072195121951
20200226,Australia,3,0.00017521733333333335,8.760866666666667e-05
20200226,Italy,4,0.0011457226666666666,0.0006590890000000001
20200226,France,2,0.000261991,0.0003929955
20200226,Ireland,3,0.00034932733333333335,0.000261997
20200226,England,2,0.000262,0.000131
20200226,Chile,2,0.000263034,0.000131
20200226,Georgia,2,0.000262,0.000131
20200226,Canada,2,0.0,0.0
20200226,Spain,15,0.0002046256952380949,0.00019215300000000003
20200226,Germany,4,0.0009612006666666668,0.00065543575
